微粒贷是什么           微粒贷是腾讯微众银行面向微信和QQ用户推出的个人小额信用循环消费贷款。
微粒贷可以贷款多少          个人贷款总额度在500元～20万元之间。
微粒贷单笔最高可以借多少      单笔最高可借4万元。
微粒贷日利率是多少         贷款日利率在万2到万5之间。
微粒贷多久上线的     2015年5月在手机QQ上线，9月在微信上线。
微粒贷这个产品有什么特点    无抵押、无担保，7*24小时服务，最快1分钟完成放款，随借随还，提前还款无手续费。
微粒贷无抵押、无担保是什么   “微粒贷”无需抵押和担保，不需要提交任何纸质材料，能够较好的满足信用良好的用户的小额融资需求。
微粒贷有哪些优势      “微粒贷”依托严谨的风险控制规则及完备的技术支持体系，提供7*24小时线上服务，办理手续便捷高效，全部流程都在手机上操作完成，借款可最快40秒到账。
提前还款需要手续费吗    传统金融机构大多要求用户在还款日当天还款，用户如果希望提前还款，需要申请并缴纳手续费。除常规默认代扣还款外，“微粒贷”亦支持用户随时结清贷款，且不收取任何其他额外手续费用。
开通微粒贷  微粒贷”目前已在腾讯手机QQ平台和微信平台正式上线。“微粒贷”采用用户邀请制，受邀用户可在“微信-我-钱包”或“手机QQ-我-QQ钱包-资金理财”中找到“微粒贷”，点击即可体验产品。
微粒贷怎么办理   “微粒贷”目前已在腾讯手机QQ平台和微信平台正式上线。“微粒贷”采用用户邀请制，受邀用户可在“微信-我-钱包”或“手机QQ-我-QQ钱包-资金理财”中找到“微粒贷”，点击即可体验产品。
为什么我没有微粒贷功能    “微粒贷”目前已在腾讯手机QQ平台和微信平台正式上线。“微粒贷”采用用户邀请制，受邀用户可在“微信-我-钱包”或“手机QQ-我-QQ钱包-资金理财”中找到“微粒贷”，点击即可体验产品。
微粒贷怎么使用   “微粒贷”目前已在腾讯手机QQ平台和微信平台正式上线。“微粒贷”采用用户邀请制，受邀用户可在“微信-我-钱包”或“手机QQ-我-QQ钱包-资金理财”中找到“微粒贷”，点击即可体验产品。
我想借款             “微粒贷”目前已在腾讯手机QQ平台和微信平台正式上线。 “微粒贷”采用用户邀请制，受邀用户可在“微信-我-钱包”或“手机QQ-我-QQ钱包-资金理财”中找到“微粒贷”，点击即可体验产品。
微粒贷安全吗     截止2020年5月，微粒贷正式上线以来，微粒贷主动授信已超过9800万人 ，累计发放贷款超过3600亿元 ，微粒贷的提款人群覆盖全国31个省市，567座城市，所以放心使用。
微粒贷开通的条件   借款人需要满足年龄在18-65周岁的自然人，具有稳定职业、稳定收入，按期偿付贷款本息的能力，征信良好，无不良记录，银行规定的其他条件。
微粒贷开通需要什么    借款人需要满足年龄在18-65周岁的自然人，具有稳定职业、稳定收入，按期偿付贷款本息的能力，征信良好，无不良记录，银行规定的其他条件。
微粒贷为什么开通不了   借款人需要满足年龄在18-65周岁的自然人，具有稳定职业、稳定收入，按期偿付贷款本息的能力，征信良好，无不良记录，银行规定的其他条件。
微粒贷审核怎么没有通过   借款人需要满足年龄在18-65周岁的自然人，具有稳定职业、稳定收入，按期偿付贷款本息的能力，征信良好，无不良记录，银行规定的其他条件。
微粒贷借款还清后,可以再次借款吗   可以的，因为微粒贷的额度是可以循环使用的，只要在可用额度内可以申请多次借款，额度借完之后就需要等还清欠款之后才能再借了。不过个人综合资质评定不合格，那么可能会导致系统回收额度，无法继续申请微粒贷了。
微粒贷借款还没还清,可以再次借款吗   根据微粒贷官方问题汇总中关于“扣款成功后，额度什么时候恢复？”的回答中，只有还完全部借款后，额度才能恢复，才能再次借款。
